
Rendering frame with player@['0.312613', '0.007330']
Rendering frame with player@['1.875004', '0.336915']
Rendering frame with player@['3.203114', '1.000969']
Rendering frame with player@['5.156433', '2.618594']
Rendering frame with player@['6.093982', '3.666050']
Rendering frame with player@['6.797032', '4.566861']
Rendering frame with player@['7.656438', '5.802286']
Rendering frame with player@['8.125091', '6.538231']
Rendering frame with player@['8.906262', '7.862569']
Rendering frame with player@['9.453110', '8.862276']
Rendering frame with player@['10.000092', '9.922057']
Rendering frame with player@['10.468941', '10.878082']
Rendering frame with player@['10.859366', '11.707745']
Rendering frame with player@['11.406250', '12.921142']
Rendering frame with player@['11.953313', '14.194784']
Rendering frame with player@['12.500162', '15.527747']
Rendering frame with player@['12.812483', '16.315876']
Rendering frame with player@['13.125183', '17.124502']
Rendering frame with player@['13.437641', '17.952038']
Rendering frame with player@['13.671914', '18.585312']
Rendering frame with player@['14.062497', '19.665520']
Rendering frame with player@['14.375214', '20.552371']
Rendering frame with player@['14.687595', '21.457797']
Rendering frame with player@['14.921889', '22.149700']
Rendering frame with player@['15.312771', '23.328462']
Rendering frame with player@['15.546928', '24.049236']
Rendering frame with player@['15.937631', '25.276294']
Rendering frame with player@['16.406275', '26.788412']
Rendering frame with player@['16.640639', '27.561083']
Rendering frame with player@['16.953167', '28.608538']
Rendering frame with player@['17.343737', '29.945022']
Rendering frame with player@['17.578228', '30.762077']
Pressed q or something
